hotel_name,city,website,segment,instagram
Swissotel Resort Bodrum Beach,Bodrum,https://www.swissotel.com/hotels/bodrum-beach/,resort hotel,
Swissotel Resort & Spa Cesme,Cesme,https://www.swissotel.com/hotels/cesme/,resort hotel,
Swissotel The Bosphorus Istanbul,Istanbul,https://www.swissotel.com/hotels/istanbul/,luxury city hotel,
Swissotel Buyuk Efes Izmir,Izmir,https://www.swissotel.com/hotels/izmir/,luxury city hotel,
Swissotel Uludag Bursa,Bursa,https://www.swissotel.com/hotels/uludag-bursa/,mountain hotel,
